cik,year,filing_type,count_collective,count_example
0000042582,2010,10-K,18.0,4.0
0000042582,2011,10-K,18.0,17.0
0000042582,2012,10-K,18.0,70.0
0000042582,2013,10-K,20.0,72.0
0000042582,2014,10-K,22.0,71.0
0000042582,2015,10-K,23.0,74.0
0000042582,2016,10-K,26.0,64.0
0000042582,2018,10-K,20.0,51.0
0000042582,2019,10-K,20.0,99.0
0000042582,2020,10-K,20.0,167.0
0000042582,2002,10-K,6.0,0.0
0000042582,2003,10-K,10.0,0.0
0000042582,2004,10-K,39.0,2.0
0000042582,2005,10-K,12.0,2.0
0000042582,2006,10-K,14.0,4.0
0000042582,2007,10-K,6.0,5.0
0000042582,2008,10-K,5.0,3.0
0000042582,2009,10-K,17.0,2.0
0000042582,2022,10-K,31.0,233.0
0000042582,2023,10-K,26.0,310.0
0000042582,2017,10-K,21.0,61.0
0000042582,2021,10-K,19.0,189.0
0000320193,2017,10-K,17.0,37.0
0000320193,2018,10-K,18.0,38.0
0000320193,2019,10-K,19.0,74.0
0000320193,2020,10-K,18.0,95.0
0000320193,2021,10-K,11.0,109.0
0000320193,2022,10-K,11.0,113.0
0000320193,2002,10-K,2.0,1.0
0000320193,2003,10-K,4.0,9.0
0000320193,2004,10-K,1.0,0.0
0000320193,2007,10-K,5.0,1.0
0000320193,2005,10-K,3.0,0.0
0000320193,2006,10-K,2.0,0.0
0000320193,2008,10-K,4.0,0.0
0000320193,2009,10-K,7.0,3.0
0000320193,2010,10-K,7.0,56.0
0000320193,2011,10-K,5.0,44.0
0000320193,2012,10-K,5.0,40.0
0000320193,2013,10-K,8.0,39.0
0000320193,2014,10-K,16.0,40.0
0000320193,2015,10-K,14.0,38.0
0000320193,2016,10-K,14.0,34.0
